Name,Date,Income before Taxes to EBIT,Capital Expenditures - Total,Cost of Revenues - Total,Intangible Assets - Total - Net,EBITDA Margin - %,Net Cash Flow from Investing Activities,Total Non-Current Liabilities,Net Cash Flow from Financing Activities,Depreciation - Total,Cash & Cash Equivalents - Total,Total Liabilities & Equity,Debt - Long-Term - Total,Debt - Total,Earnings before Interest Taxes Depreciation & Amortization,Earnings before Interest Tax Depr & Amort & Optg Lease Pymt,Depreciation & Depletion - PPE - CF - to Reconcile,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities,Gross Profit - Industrials/Property - Total,Income before Taxes,Net Cash Flow from Operating Activities,Cash Flow from Operating Actvs bef Changes in Working Cap,Retained Earnings - Total,Short-Term Investments - Total,Cash & Cash Equivalents,Cash & Short Term Investments,Inventories - Total,Total Shareholders' Equity incl Minority Intr & Hybrid Debt,Total Current Assets,Loans & Receivables - Net - Short-Term,Retained Earnings,Interest Expense - Net of (Interest Income),Earnings before Interest & Taxes (EBIT),Gross Revenue from Business Activities - Total,Revenue from Business Activities - Total,Net Income after Tax,Total Assets,Total Fixed Assets - Net,Receivables & Loans - Long-Term,Total Current Liabilities,Year,SIZE,ROA,CUR,LEV,FAR,signal_ebit,Z_Score,signal_z,S_Score,signal_s,n_signals,ews_level,n_signals_lag1,n_signals_lag2,signal_ebit_lag1,signal_ebit_lag2,signal_z_lag1,signal_z_lag2,signal_s_lag1,signal_s_lag2,early_warning_flag,current_high_risk,risk_trend,recommendation,priority_flag
BWE.HM,2021-12-31,1.02268,770140221131,1804086443324,106588450800,0.4260226,-1175294040551,3140670487257,-63333313676,482313132757,476004690173,9073853965987,2370659594000,3580905205932,1328707899577,0,484162321904,3878530920870,5148517555210.0,1314780773409,863666966921,986665614350,1127345049159,605632211216,599672000000,476004690173,1075676690173,697709085585,3925336410777,2718621324034.0,818812167371,389797615362.0,116733264581,844514017829,3135285985989,3118867216733,755142495421,9073853965987.0,5399010198238,955646977479,2007847067953.0,2021,29.83641820336515,0.0832218039051127,1.3539982040592535,0.5674014122895326,0.5950073936032018,0,2.070337146397144,0,0.7877948330922925,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
BWE.HM,2022-12-31,0.91213,825213376653,2062680280274,104492678817,0.4013492999999999,-1740720036558,3460433371118,146339599080,477630869124,275261970068,9987292157923,2691765337754,4017927313607,1398199250729,0,479256052509,4493766109393,5449453701636.0,1421066394467,838167745141,1393623968429,1160781494996,956656429405,871911342466,275261970068,1147173312534,713823785462,4537838456287,2786194240014.0,836196293607,380255031633.0,129255270922,918911638376,3483746674741,3483746674741,746559670886,9987292157923.0,6249035627031,952062290878,1989020330518.0,2022,29.93233461658393,0.0747509594273507,1.400787210298847,0.5456387592820046,0.6256986907180431,0,2.131884937025853,0,0.7823275897116224,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
BWE.HM,2023-12-31,0.77771,956300003805,1962320990062,367646409835,0.432609,-1341260771675,4773192663318,522767847549,528688052245,655358928798,12121720381528,3997484839094,5430917825707,1525351845326,0,545660439274,4802022634199,7157962992190.0,1563615191682,761902228103,1200088751222,1148174631132,1018524365687,264713893040,655358928798,920072821838,923220324371,4963757389338,2705825961123.0,796842959980,559802867353.0,313909562073,979678162243,3525936181744,3525936181744,681981565164,12121720381528.0,8201483098711,952023246203,2384770328872.0,2023,30.12602003216701,0.056261120014223,1.1346274852399978,0.5905071860177412,0.6765939850591707,0,1.5718191232999714,0,0.6026103299685908,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
BWE.HM,2024-12-31,0.70144,639065368576,2265244750070,343405314496,0.425828,-1905592271482,5288874388909,1387340848120,605623810276,1006668267497,14199525343428,4479993751988,6942517598761,1685851980205,0,635676125198,5336195858881,8686796923498.0,1693753073002,736635343446,869449186110,1250810920442,1070064860127,404532270375,1006668267497,1411200537872,1233109787901,5512728419930,4473573577419.0,1714124245172,244403635946.0,319130321858,1050175761635,3958997823072,3958997823072,660580621314,14199525343428.0,8413171978578,1078177769363,3397922534589.0,2024,30.28422965345793,0.0465213171100636,1.316561378866192,0.6117667114498676,0.5924967050023181,0,1.6950522248749258,0,0.5596839531441212,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
C32.HM,2014-12-31,1.07251,3928497833,347967404922,47759699410,0.1877566,-28412934197,936801360,-38505974807,0,9861328609,373926004921,0,16372825193,85177831354,0,0,256306246081,117619758840.0,105693412474,89914930103,81480005672,81480005672,88516461703,0,9861328609,69861328609,60010575556,256306246081,282272936946.0,151450855210,40980093647.0835,-5350281322,83835914112,453767633639,453660817396,67860093543,373926004921.0,91653067975,0,116682957480.0,2014,26.64732376698167,0.1814800058031185,2.419144518121962,0.3145535675296232,0.2451101735873216,0,7.05703636743004,0,2.1383201436757053,0,0,Safe,,,,,,,,,0,0,,Financially stable,0
C32.HM,2015-12-31,1.06151,14506948857,413001085974,46831996734,0.2303557,-40716512213,0,-31097188471,7106640339,21859220439,445495618668,0,12154496722,128401951393,0,0,325687073971,119808544697.0,144406215683,127459544057,139551919864,139551919864,138510189158,89112146719,21859220439,110971367158,56422082148,325687073971,346329349085.0,175348789918,67317015369.0835,-4638501789,120073608378,557426832741,557407301657,101287113188,445495618668.0,99166269583,0,119808544697.0,2015,26.822453249169182,0.2273582700787074,2.890689891617322,0.2689331604544596,0.2225976315535942,0,8.493708221852613,0,2.553805294030898,0,0,Safe,0.0,,0.0,,0.0,,0.0,,0,0,Stable,Financially stable,0
C32.HM,2016-12-31,1.11136,81063080573,382480192444,45635816274,0.2029755,-117949220342,13597360000,23646749779,0,26696985962,552904915783,13597360000,62680106501,105601959073,0,0,380276411696,172628504087.0,137789304762,116539316937,159226608684,159226608684,165752006322,150917522400,26696985962,177614508362,58075136308,380276411696,373711509403.0,135396978414,61780259696.0835,-4260266846,104861803149,520276223206,520269497206,93326589044,552904915783.0,179193406380,0,159031144087.0,2016,27.038451881158714,0.1687931982153476,2.349926560287816,0.3122209608907726,0.3240944351638365,0,6.498854932851849,0,1.8422130260890768,0,0,Safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Stable,Financially stable,0
C32.HM,2017-12-31,1.05756,65713762852,418737869696,43812744088,0.1954078,-130675823179,39994248000,99227014917,0,51147987411,747660767135,39994248000,186715603858,109378741528,0,0,439990058098,307670709037.0,141008140156,114675454257,116226294738,116226294738,195837473682,96647486557,51147987411,147795473968,82132329700,439990058098,393966307882.0,119966063277,61592515635.0025,-2194553215,108434020432,560103641852,559746009852,91653298035,747660767135.0,353694459253,0,267676461037.0,2017,27.34021519217665,0.1225867426295631,1.4718003456700788,0.4115111057866247,0.4730681009361239,0,3.852811091088306,0,1.2014422765689134,0,0,Safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Stable,Financially stable,0
C32.HM,2019-12-31,1.23873,50628246519,677427024155,41612664980,0.1203598,-105418231045,46300591500,56230993322,21114649707,67504283675,895555970465,46300591500,256450458665,96542121122,0,21674230923,511866518132,383721854880.0,124685837509,91959742025,77719240993,79287168755,192444430206,104533489605,67504283675,172037773280,79070247760,511834115585,430996731153.0,137388667071,34851443161.0,6407476819,74237341641,802277757403,802112861664,75819061459,895555970465.0,464559239312,0,337421263380.0,2019,27.520710558409142,0.0846614437952241,1.277325343505742,0.4284733367148006,0.5187383643601713,0,2.7700175751650207,0,0.9002497757178688,0,0,Safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Stable,Financially stable,0
C32.HM,2020-12-31,1.16134,21839015807,512512999760,61995112060,0.1723852,-60043004257,42630067500,1643254376,21981385817,90427262563,975881199539,42630067500,292161625001,110019568962,0,22540967033,548299223671,425615849859.0,125706363458,100453625882,81322728769,91220407004,199832909327,111320310125,90427262563,201747572688,67112186180,550265349680,489073472602.0,201507900407,58170839660.0,9523341004,86497694391,638232429348,638219363218,83112130287,975881199539.0,486807726937,0,382985782359.0,2020,27.606606694166995,0.08516623778208,1.2770016411302612,0.436134900498194,0.4988391283354622,0,2.8557509307802125,0,0.8187908819453837,1,1,Watchlist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Worsening,Monitor closely – risk increasing,0
C32.HM,2021-12-31,3.52846,15484863322,443744073295,60319245988,0.0961758,118790026227,38391667500,-92899849612,22424711161,113761289692,973034696395,38391667500,217302514369,49616379390,0,22984292377,581938213917,389131078397.0,72148510909,89625835710,-2556149486,37488893154,214814400032,98756249774,113761289692,212517539466,72312901329,583903617998,541350866848.0,236935522682,51380473955.0,8335476227,25400802157,515892584204,515892584204,75289583290,973034696395.0,431683829547,0,350739410897.0,2021,27.60368557768986,0.0773760520245996,1.54345605320919,0.3999149052327663,0.4436469029792536,0,3.2028844944350885,0,0.6626402509096772,1,1,Watchlist,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,Stable,Monitor,0
C32.HM,2022-12-31,1.06692,3594746012,510015748603,58727775115,0.0824227,-12846638894,29103267500,92083194986,22487371298,97861011092,1010445441574,29103267500,345476003595,47126277806,0,23040761473,585238074460,423241046718.0,61747511154,23791115243,-95136834692,34197506167,218134360575,131964010327,97861011092,229825021419,74395772824,587204394856,578581008992.0,251444851506,888547227.0,8272088524,22298973460,571794811757,571763259757,20510942791,1010445441574.0,431864432582,0,394137779218.0,2022,27.6414123808174,0.0202989116948753,1.4679663800307337,0.4188658083891251,0.4274000503275786,0,2.8004978256130504,0,0.5219430967654286,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
C32.HM,2023-12-31,0.0,5943810482,446720856972,56892464239,0.0063382,73122243931,0,-114880100983,22431431316,63215235830,864510257596,0,245624922212,3131813261,0,22859042672,533964282835,328578069072.0,47395165237,-26982148276,7112081790,27791294313,165275266700,45786556067,63215235830,109001791897,95799786321,535932188524,462588802109.0,248410441007,-42013878569.0,13902328618,-21134928931,494136907209,494116022209,-26982148276,864510257596.0,401921455487,0,328578069072.0,2023,27.48542900735044,-0.031210905872917,1.407850509973125,0.3800742283679761,0.4649123037645026,1,2.400501205214714,0,0.2590352761931045,1,2,High Risk,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,Worsening,High risk – immediate review required,1
C32.HM,2024-12-31,0.91802,6443931631,568825076403,51656115056,0.0389449,-4904499020,37931769,-76747344255,13751424302,49051184329,788592439800,0,168877577957,24411894443,0,15990517976,541642068164,244960665413.0,58006832946,8187192100,67487791774,26768693137,172953052029,50667277546,49051184329,99718461875,85600206905,543631774387,293450125677.0,89851713892,7414977746.0,10198037702,8918338389,626849791749,626831909349,8129058483,788592439800.0,390558187866,104584126257,244922733644.0,2024,27.393515471481187,0.0103083139943132,1.1981334738143807,0.3106302483385791,0.4952598682851334,1,2.8320276375382805,0,0.4381140157678975,1,2,High Risk,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1,Stable,High risk – immediate review required,1
C47.HM,2014-12-31,0.27834,207054502178,834897749852,17161731017,0.2015632,-207054502178,655405797348,187643482245,69243814364,112523964469,2170223561592,655405797348,1313857846582,203563053316,0,0,189122813206,1946833443067.0,175023771585,37370064835,11266664680,11266664680,21844426947,0,112523964469,112523964469,956342452051,223390118525,1491649193813.0,308581343845,30806121564.0,87608489136,134259238952,1010013441713,1009921521437,30881834692,2170223561592.0,678342366739,232001040,1291427645719.0,2014,28.405851301949447,0.0142297942196084,1.1550389204983504,0.897065849584119,0.3125679670721996,0,1.1692198035855588,0,0.4901893759522093,1,1,Watchlist,,,,,,,,,0,0,,Monitor,0
C47.HM,2015-12-31,0.23986,490072255736,1341740274334,17101731017,0.1409977,-485672255736,651335673419,85261673509,79979537093,28399058563,2285697336258,650902748730,1390218464879,214810874254,0,0,223838779524,2024450588370.0,181766166949,32325728213,316278228080,316278228080,21724229668,0,28399058563,28399058563,924931672141,261246747888,1486867761481.0,400350265732,6446668412.29437,104969981683,134771337161,1523563245655,1523506441283,26852879675,2285697336258.0,798597573737,0,1373114914951.0,2015,28.457692273698395,0.0117482219754264,1.0828429181646892,0.8857037002476904,0.3493890293648474,0,0.847994439801808,1,0.5144296066040562,1,2,High Risk,1.0,,0.0,,0.0,,1.0,,1,1,Worsening,High risk – immediate review required,1
C47.HM,2016-12-31,0.04996,140405959121,1334772295164,11344793017,0.138574,-134215959121,663348136163,120467396796,90566072484,16483147337,2258607485647,377307632374,1127319230050,206548826360,0,0,261571086276,1964998076499.0,155758954325,5792308670,1771166012,1771166012,15721453344,0,16483147337,16483147337,845371493229,293609409148,1311452944755.0,360420788864,8395095174.0,102640347106,115937753876,1490563656837,1490531249489,3136397295,2258607485647.0,945190542885,1963998007,1301649940336.0,2016,28.44576958251677,0.0013886420349401,1.0075312141269483,0.8700042344613532,0.4184837555403041,0,0.5253082434134088,1,0.4289687325708221,1,2,High Risk,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,1,Stable,High risk – immediate review required,1
C47.HM,2017-12-31,0.24466,59677819966,909225698335,0,0.2065049,-46880769821,692305637180,33155293661,111683703762,18441396320,2212960538562,405635167320,1175627409387,218383941501,0,111683703762,266813146940,1913832525099.0,148298660492,26105243219,15649202178,103424289649,17688542249,0,18441396320,18441396320,827488210341,299128013463,1296815353487.0,409067794140,5201168872.26382,113634969427,106700237739,1057568002532,1057524358827,21993682107,2212960538562.0,915047727112,1097457963,1221526887919.0,2017,28.425352345190035,0.0099385785348398,1.0616347182469816,0.8648290341149165,0.4134948234127146,1,0.701239345249228,1,0.3883214666881524,1,3,High Risk,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,Worsening,High risk – immediate review required,1
C47.HM,2018-12-31,0.50085,96074133878,743496582889,102745000,0.244888,-31776175782,577269160032,-293592031233,107018856372,162861276342,2164291913672,107890153584,899055508154,218612620361,0,107018856372,291105990028,1841173859065.0,149207806401,55892048424,469717650247,120003962047,35334801572,0,162861276342,162861276342,833391315629,323118054607,1311676642676.0,285516953994,-8641659256.81751,100323028420,111593763989,892704389290,892704389290,43168686883,2164291913672.0,849023147378,3592123618,1263904699033.0,2018,28.403114363227417,0.019945870799729,1.0377971089747111,0.8507049568656436,0.3922867992134771,0,0.6442872844806391,1,0.3752023777842534,1,2,High Risk,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,Improving,High risk – immediate review required,1
C47.HM,2019-12-31,0.1673,3641794833,813981149633,1225101849,0.1632605999999999,41781623170,537176287393,-173923727651,0,46965478327,1920150095628,66546732854,757563638303,146056179373,0,101481022272,263406197582,1631450881647.0,80638479589,7457534684,16244581020,67688629106,7231458310,0,46965478327,46965478327,831215629546,288699213981,1272752109425.0,356379024144,6401143958.0,71672129202,44575157101,894619629222,894619629222,3539314001,1920150095628.0,642539220395,4858765808,1094274594254.0,2019,28.283424473719,0.0018432486132509,1.163101214364456,0.8496475798228791,0.33462968434499,1,0.9461470638245116,1,0.3578689661034284,1,3,High Risk,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,Worsening,High risk – immediate review required,1
C47.HM,2020-12-31,0.24105,46317062123,1090571479769,1100614859,0.1371652,73600517062,323231193102,-95383709691,61783539334,16892129583,1620185576664,62006026944,663878303812,169136095584,0,61963242324,282246745249,1316163960644.0,142511946870,25834154454,-8290056065,116576785334,22494342957,0,16892129583,16892129583,727852950670,304021616020,1083845705647.0,312804530374,21731246442.0,60696019850,107172853260,1233083426639,1233083426639,18342833960,1620185576664.0,530111316268,6228554749,992932767542.0,2020,28.113561812108387,0.0113214401017989,1.0915600140078512,0.812353831314813,0.3271917266165963,0,1.0815116532125613,1,0.5824740290855606,1,2,High Risk,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,Improving,High risk – immediate review required,1
C47.HM,2021-12-31,0.68473,6708813502,767104739366,1919641770,0.1485205,7735822859,415671579400,-32586612400,47906835359,98774118560,1572251007751,149452914360,729061922398,130986509879,0,48543824161,324081296431,1227173060017.0,114837838897,56710978385,106732778518,105679688164,52033315125,0,98774118560,98774118560,659327392955,345077947734,1040506783226.0,214386644848,44336427841.0,49842450566,82821878311,881942578263,881942578263,43220042699,1572251007751.0,518726650916,13017573609,811501480617.0,2021,28.083529471330863,0.0274892765124211,1.2821994883298091,0.7805198113832912,0.3299261049022979,0,1.6787060651916716,0,0.5822437329110863,1,1,Watchlist,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,Improving,Monitor,0
C47.HM,2022-12-31,0.27621,9606916086,690135582681,1582756832,0.1480061,-9561461541,534426955262,-8075653270,44802617535,18793509490,1844059734141,115146994640,720513658142,116768341105,0,45204500473,400499763651,1421360612455.0,98806916921,19766590568,-62343494259,43337641958,66479951359,0,18793509490,18793509490,777198441519,422699121686,1269699670997.0,413114257216,-13401384016.1733,50454953013,71563840632,788942499602,788942499602,15649342966,1844059734141.0,557811710738,16548352406,886933657193.0,2022,28.24299063432408,0.0084863536013868,1.4315610425873249,0.7707779667544763,0.3024911288992706,0,1.894597173127452,0,0.5187745984101756,1,1,Watchlist,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,Stable,Monitor,0
C47.HM,2023-12-31,0.23276,22598595752,877879923422,1206430807,0.1267395,-12510612247,331792750052,-13878435268,43079911070,13954166449,1807973717109,86387692018,706614452874,124973276046,0,43456237095,414693888222,1370621917241.0,108184297555,18973702851,21549704474,52641589270,20093825930,0,13954166449,13954166449,845362076023,437351799868,1265888821751.0,360265895214,-12782277959.8251,66532556698,81517038951,986064220977,986064220977,14631908182,1807973717109.0,523516496023,18568399335,1038829167189.0,2023,28.22322784079564,0.008092987217423,1.2185726601962936,0.75809836408057,0.2895597934134338,0,1.421483670303035,0,0.4979877683099252,1,1,Watchlist,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,Stable,Monitor,0
